Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"mon maaf ya udah ga percaya sama ente sekeluarga, sejak dulu bilang gak mau masuk politik, gak minatttt.. tau2?? yg ktnya dulu prinsip hidup sederhana.. tau2?? yg katanya ndeso kalau dicariin ""lapak kebahagiaan"" sm ortu.. tau2???",bukan ujaran kebencian,mohon maaf ya sudah tidak percaya sama kamu sekeluarga sejak dulu bilang tidak mau masuk politik tidak minat tau yang katanya dulu prinsip hidup sederhana tau yang katanya kampungan kalau dicariin lapak kebahagiaan sama ortu tau,"['mohon', 'maaf', 'ya', 'sudah', 'tidak', 'percaya', 'sama', 'kamu', 'sekeluarga', 'sejak', 'dulu', 'bilang', 'tidak', 'mau', 'masuk', 'politik', 'tidak', 'minat', 'tau', 'yang', 'katanya', 'dulu', 'prinsip', 'hidup', 'sederhana', 'tau', 'yang', 'katanya', 'kampungan', 'kalau', 'dicariin', 'lapak', 'kebahagiaan', 'sama', 'ortu', 'tau']",mohon maaf ya percaya sekeluarga bilang masuk politik minat tau prinsip hidup sederhana tau kampungan dicariin lapak kebahagiaan ortu tau,mohon maaf ya percaya keluarga bilang masuk politik minat tau prinsip hidup sederhana tau kampung dicariin lapak bahagia ortu tau,1
gak tau maluuu,ujaran kebencian,tidak tau malu,"['tidak', 'tau', 'malu']",tau malu,tau malu,0
"istighfar kata gue teh, udah cukup lah sekeluarga dzalimi rakyat indonesia, uangnya belum cukup apa gimana dah, ngotot batget hrs jd pemimpin semua, heran deh",ujaran kebencian,istighfar kata aku teh sudah cukup lah sekeluarga dzalimi rakyat indonesia uangnya belum cukup apa bagaimana dah mengotot batget harus jadi pemimpin semua heran deh,"['istighfar', 'kata', 'aku', 'teh', 'sudah', 'cukup', 'lah', 'sekeluarga', 'dzalimi', 'rakyat', 'indonesia', 'uangnya', 'belum', 'cukup', 'apa', 'bagaimana', 'dah', 'mengotot', 'batget', 'harus', 'jadi', 'pemimpin', 'semua', 'heran', 'deh']",istighfar teh sekeluarga dzalimi rakyat indonesia uangnya dah mengotot batget pemimpin heran deh,istighfar teh keluarga dzalimi rakyat indonesia uang dah otot batget pimpin heran deh,0
akhirnya nahyan pakai baju beskap jugaaaa..ga pakai kaos singlet lageee😂😂,bukan ujaran kebencian,akhirnya nahyan pakai baju beskap juga ga pakai kaos singlet lage,"['akhirnya', 'nahyan', 'pakai', 'baju', 'beskap', 'juga', 'ga', 'pakai', 'kaos', 'singlet', 'lage']",nahyan pakai baju beskap ga pakai kaos singlet lage,nahyan pakai baju beskap ga pakai kaos singlet lage,1
"eh udh besar dya,,yg dulunya cuma pake pampers sma singlet wktu pesta mas kaesang🤭",bukan ujaran kebencian,eh sudah besar dya yg dulunya hanya pakai pampers sama singlet waktu pesta kakak kaesang,"['eh', 'sudah', 'besar', 'dya', 'yg', 'dulunya', 'hanya', 'pakai', 'pampers', 'sama', 'singlet', 'waktu', 'pesta', 'kakak', 'kaesang']",eh dya yg dulunya pakai pampers singlet pesta kakak kaesang,eh dya yg dulunya pakai pampers singlet pesta kakak kaesang,1
"ya allah mbak , s3moga allah mengijabah doa"" rakyat indonesiaa yg terzolimi gara"" kelakuan kalian sekeluarga .  anak dlm kandungan yg gak bersalah pun jd cemoohan sm warga indonesiaa , setidaknya semoga allah nerikan yg setimpal buat lu semua ahk smpai 7 keturunan lu. 🤲😇",bukan ujaran kebencian,ya allah kakak smoga allah mengijabah doa rakyat indonesia yang terzalimi gara kelakuan kalian sekeluarga anak dalam kandungan yang tidak bersalah pun jadi cemoohan sama warga indonesia setidaknya semoga allah nerikan yang setimpal buat kamu semua ahok sampai keturunan lu,"['ya', 'allah', 'kakak', 'smoga', 'allah', 'mengijabah', 'doa', 'rakyat', 'indonesia', 'yang', 'terzalimi', 'gara', 'kelakuan', 'kalian', 'sekeluarga', 'anak', 'dalam', 'kandungan', 'yang', 'tidak', 'bersalah', 'pun', 'jadi', 'cemoohan', 'sama', 'warga', 'indonesia', 'setidaknya', 'semoga', 'allah', 'nerikan', 'yang', 'setimpal', 'buat', 'kamu', 'semua', 'ahok', 'sampai', 'keturunan', 'lu']",ya allah kakak smoga allah mengijabah doa rakyat indonesia terzalimi gara kelakuan sekeluarga anak kandungan bersalah cemoohan warga indonesia semoga allah nerikan setimpal ahok keturunan lu,ya allah kakak smoga allah mengijabah doa rakyat indonesia zalim gara laku keluarga anak kandung salah cemooh warga indonesia moga allah nik timpal ahok turun lu,1
woi gue nyari kerja susah bgtttt anjir lo 25tahun mau jd cawagub😇,bukan ujaran kebencian,woi aku mencari kerja susah sekali anjing kamu tahun mau jadi cawagub,"['woi', 'aku', 'mencari', 'kerja', 'susah', 'sekali', 'anjing', 'kamu', 'tahun', 'mau', 'jadi', 'cawagub']",woi mencari kerja susah anjing cawagub,woi cari kerja susah anjing cawagub,1
"mba, jgn lupa pake deodorant ya di penn.. jgn malu2in negara loe 😭 indonesia nti dikata2in gara2 mambumu",ujaran kebencian,mba jangan lupa pakai deodorant ya di penn jangan memalukan negara kamu indonesia nanti diejek gara gara mambumu,"['mba', 'jangan', 'lupa', 'pakai', 'deodorant', 'ya', 'di', 'penn', 'jangan', 'memalukan', 'negara', 'kamu', 'indonesia', 'nanti', 'diejek', 'gara', 'gara', 'mambumu']",mba lupa pakai deodorant ya penn memalukan negara indonesia diejek gara gara mambumu,mba lupa pakai deodorant ya penn malu negara indonesia ejek gara gara mambu,0
tamak,ujaran kebencian,tamak,['tamak'],tamak,tamak,0
minimal mandi,ujaran kebencian,minimal mandi,"['minimal', 'mandi']",minimal mandi,minimal mandi,0
berhari² rapat buat bikin alasan nebeng temen ke kpk. agak laenn memanh kauuu 🤣,ujaran kebencian,berhari rapat buat bikin alasan nebeng teman ke kpk agak lain memanh kau,"['berhari', 'rapat', 'buat', 'bikin', 'alasan', 'nebeng', 'teman', 'ke', 'kpk', 'agak', 'lain', 'memanh', 'kau']",berhari rapat bikin alasan nebeng teman kpk memanh kau,hari rapat bikin alas nebeng teman kpk memanh kau,0
wedoossssass,ujaran kebencian,wedoosa,['wedoosa'],wedoosa,wedoosa,0
ndeso,ujaran kebencian,kampungan,['kampungan'],kampungan,kampung,0
lucu kolongmerattttt😭,bukan ujaran kebencian,lucu kolongmerat,"['lucu', 'kolongmerat']",lucu kolongmerat,lucu kolongmerat,1
utututu nepo baby😇,ujaran kebencian,utututu nepo baby,"['utututu', 'nepo', 'baby']",utututu nepo baby,utututu nepo baby,0
ngisin2ke lakonne wong jowo sampean!!,ujaran kebencian,ngisinke lakonne orang jawa sampean,"['ngisinke', 'lakonne', 'orang', 'jawa', 'sampean']",ngisinke lakonne orang jawa sampean,ngisinke lakonne orang jawa sampean,0
"ingatt tabur tuai itu nyata! jika bukan di dunia nanti di akhirat,tuhan tidk pernah tidur.",bukan ujaran kebencian,ingat tabur tuai itu nyata jika bukan di dunia nanti di akhirat tuhan tidak pernah tidur,"['ingat', 'tabur', 'tuai', 'itu', 'nyata', 'jika', 'bukan', 'di', 'dunia', 'nanti', 'di', 'akhirat', 'tuhan', 'tidak', 'pernah', 'tidur']",tabur tuai nyata dunia akhirat tuhan tidur,tabur tuai nyata dunia akhirat tuhan tidur,1
penasaran deh kalo keluarga istana acara kayak gini di tanggung negara (anggaran rumah tangga istana presiden)jg ga ya? ->>>>>>>>>,bukan ujaran kebencian,penasaran deh kalau keluarga istana acara seperti begini di tanggung negara anggaran rumah tangga istana presiden jg tidak ya,"['penasaran', 'deh', 'kalau', 'keluarga', 'istana', 'acara', 'seperti', 'begini', 'di', 'tanggung', 'negara', 'anggaran', 'rumah', 'tangga', 'istana', 'presiden', 'jg', 'tidak', 'ya']",penasaran deh keluarga istana acara tanggung negara anggaran rumah tangga istana presiden jg ya,penasaran deh keluarga istana acara tanggung negara anggar rumah tangga istana presiden jg ya,1
gak malu ya mbak @erinagudono & keluarga pake fasilitas negara buat acara urusan pribadi tuhh?,ujaran kebencian,tidak malu ya kakak keluarga pakai fasilitas negara buat acara urusan pribadi tuhh,"['tidak', 'malu', 'ya', 'kakak', 'keluarga', 'pakai', 'fasilitas', 'negara', 'buat', 'acara', 'urusan', 'pribadi', 'tuhh']",malu ya kakak keluarga pakai fasilitas negara acara urusan pribadi tuhh,malu ya kakak keluarga pakai fasilitas negara acara urus pribadi tuhh,0
emang boleh ngadain mitoni (acara pribadi) di istana? fasilitas negara kok di pake kepentingan pribadi. emang mitoni ini di istana ini apa keuntungan nya buat negara???,bukan ujaran kebencian,memang boleh mengadakan mitoni acara pribadi di istana fasilitas negara kok di pakai kepentingan pribadi memang mitoni ini di istana ini apa keuntungan nya buat negara,"['memang', 'boleh', 'mengadakan', 'mitoni', 'acara', 'pribadi', 'di', 'istana', 'fasilitas', 'negara', 'kok', 'di', 'pakai', 'kepentingan', 'pribadi', 'memang', 'mitoni', 'ini', 'di', 'istana', 'ini', 'apa', 'keuntungan', 'nya', 'buat', 'negara']",mengadakan mitoni acara pribadi istana fasilitas negara pakai kepentingan pribadi mitoni istana keuntungan nya negara,ada mitoni acara pribadi istana fasilitas negara pakai penting pribadi mitoni istana untung nya negara,1
gimana rasanya roti 400rb? gaji guru honorer sebulan ada yg segitu loh,bukan ujaran kebencian,bagaimana rasanya roti rb gaji guru honorer sebulan ada yang sebegitu lah,"['bagaimana', 'rasanya', 'roti', 'rb', 'gaji', 'guru', 'honorer', 'sebulan', 'ada', 'yang', 'sebegitu', 'lah']",roti rb gaji guru honorer sebulan,roti rb gaji guru honorer bulan,1
"idihhh komennn ny dtutup"" segalaaaaaa",bukan ujaran kebencian,idih komen nya dtutup segala,"['idih', 'komen', 'nya', 'dtutup', 'segala']",idih komen nya dtutup,idih komen nya dtutup,1
kalian ga takut sama hukum allah dan hukum alam?,bukan ujaran kebencian,kalian tidak takut sama hukum allah dan hukum alam,"['kalian', 'tidak', 'takut', 'sama', 'hukum', 'allah', 'dan', 'hukum', 'alam']",takut hukum allah hukum alam,takut hukum allah hukum alam,1
"nanti kita bersaksi bareng bareng ya gaes di akhirat kalo 1 keluarga ini membuat orang resah, memporak porandakan hati rakyat indonesia, buat rusak 1 tatanan negara 🤲",ujaran kebencian,nanti kita bersaksi bareng bareng ya teman di akhirat kalau keluarga ini membuat orang resah memporak porandakan hati rakyat indonesia buat rusak tatanan negara,"['nanti', 'kita', 'bersaksi', 'bareng', 'bareng', 'ya', 'teman', 'di', 'akhirat', 'kalau', 'keluarga', 'ini', 'membuat', 'orang', 'resah', 'memporak', 'porandakan', 'hati', 'rakyat', 'indonesia', 'buat', 'rusak', 'tatanan', 'negara']",bersaksi bareng bareng ya teman akhirat keluarga orang resah memporak porandakan hati rakyat indonesia rusak tatanan negara,saksi bareng bareng ya teman akhirat keluarga orang resah memporak porandakan hati rakyat indonesia rusak tatanan negara,0
nepo baby mau lahir udh aja jabatan belum?,ujaran kebencian,nepo baby mau lahir sudah saja jabatan belum,"['nepo', 'baby', 'mau', 'lahir', 'sudah', 'saja', 'jabatan', 'belum']",nepo baby lahir jabatan,nepo baby lahir jabat,0
gk respect,bukan ujaran kebencian,tidak hormat,"['tidak', 'hormat']",hormat,hormat,1
karma berlaku untuk keluarga kalian. nantikanlahh,ujaran kebencian,karma berlaku untuk keluarga kalian nantikanlahh,"['karma', 'berlaku', 'untuk', 'keluarga', 'kalian', 'nantikanlahh']",karma berlaku keluarga nantikanlahh,karma laku keluarga nantikanlahh,0
"isinya hujatan semua, emng pantesnya gini si isinya😂",ujaran kebencian,isinya hujatan semua memang pantasnya begini sih isinya,"['isinya', 'hujatan', 'semua', 'memang', 'pantasnya', 'begini', 'sih', 'isinya']",isinya hujatan pantasnya sih isinya,isi hujat pantas sih isi,0
"sang, gw mah jd lo banyak² istigfar, ngeri banget istri lg hamil di sumpah²in 1 negara",bukan ujaran kebencian,sang aku adalah jadi kamu banyak istigfar ngeri sekali istri lagi hamil di sumpahin negara,"['sang', 'aku', 'adalah', 'jadi', 'kamu', 'banyak', 'istigfar', 'ngeri', 'sekali', 'istri', 'lagi', 'hamil', 'di', 'sumpahin', 'negara']",sang istigfar ngeri istri hamil sumpahin negara,sang istigfar ngeri istri hamil sumpahin negara,1
beli otak dulu gih...,ujaran kebencian,beli otak dulu gih,"['beli', 'otak', 'dulu', 'gih']",beli otak gih,beli otak gih,0
buat yg bilang udh gak respect. mari unfollow ramai2 medsos keluarganya kae sang pisang ini,ujaran kebencian,buat yang bilang sudah tidak respect mari unfollow ramai ramai media sosial keluarganya itu sang pisang ini,"['buat', 'yang', 'bilang', 'sudah', 'tidak', 'respect', 'mari', 'unfollow', 'ramai', 'ramai', 'media', 'sosial', 'keluarganya', 'itu', 'sang', 'pisang', 'ini']",bilang respect mari unfollow ramai ramai media sosial keluarganya sang pisang,bilang respect mari unfollow ramai ramai media sosial keluarga sang pisang,0
didoain orang banyak lho ini mas mbak ✨ doa apa gak tau tapi,bukan ujaran kebencian,didoain orang banyak kamu ini kakak kakak doa apa tidak tau tapi,"['didoain', 'orang', 'banyak', 'kamu', 'ini', 'kakak', 'kakak', 'doa', 'apa', 'tidak', 'tau', 'tapi']",didoain orang kakak kakak doa tau,didoain orang kakak kakak doa tau,1
"""negara ini bukan punya keluargamu""",ujaran kebencian,negara ini bukan punya keluargamu,"['negara', 'ini', 'bukan', 'punya', 'keluargamu']",negara keluargamu,negara keluarga,0
enak ya naik jet pribadi sehabis ngerengek minta kursi😂,ujaran kebencian,enak ya naik jet pribadi sehabis ngerengek meminta kursi,"['enak', 'ya', 'naik', 'jet', 'pribadi', 'sehabis', 'ngerengek', 'meminta', 'kursi']",enak ya jet pribadi sehabis ngerengek kursi,enak ya jet pribadi habis ngerengek kursi,0
lu foya foya kita sengsara,ujaran kebencian,kamu foya foya kita sengsara,"['kamu', 'foya', 'foya', 'kita', 'sengsara']",foya foya sengsara,foya foya sengsara,0
"kata gue ge istighfar kesang, makan uang rakyat bangga amay",ujaran kebencian,kata aku ge istighfar kesang makan uang rakyat bangga amay,"['kata', 'aku', 'ge', 'istighfar', 'kesang', 'makan', 'uang', 'rakyat', 'bangga', 'amay']",ge istighfar kesang makan uang rakyat bangga amay,ge istighfar kesang makan uang rakyat bangga amay,0
dipinggir jalan padahal ada tulisannya lho “ada pekerjaan” kenapa gak ngelamar di situ aja?,bukan ujaran kebencian,dipinggir jalan padahal ada tulisannya kamu ada pekerjaan kenapa tidak ngelamar di situ aja,"['dipinggir', 'jalan', 'padahal', 'ada', 'tulisannya', 'kamu', 'ada', 'pekerjaan', 'kenapa', 'tidak', 'ngelamar', 'di', 'situ', 'aja']",dipinggir jalan tulisannya pekerjaan ngelamar situ aja,pinggir jalan tulis kerja ngelamar situ aja,1
kluarga yg g takut ma allah.... segala cara dilakukan... amit2 ya allah,bukan ujaran kebencian,keluarga yang tidak takut sama allah segala cara dilakukan amit amit ya allah,"['keluarga', 'yang', 'tidak', 'takut', 'sama', 'allah', 'segala', 'cara', 'dilakukan', 'amit', 'amit', 'ya', 'allah']",keluarga takut allah amit amit ya allah,keluarga takut allah amit amit ya allah,1
kasian anaknya nanti kalau tau aib bapak nya dulu 🤣,ujaran kebencian,kasihan anaknya nanti kalau tau aib bapak nya dulu,"['kasihan', 'anaknya', 'nanti', 'kalau', 'tau', 'aib', 'bapak', 'nya', 'dulu']",kasihan anaknya tau aib nya,kasihan anak tau aib nya,0
dia dari keluarga yang tidak bisa baca.. semoga dapet 7 turunan tidak bisa baca semua🤲😇,ujaran kebencian,dia dari keluarga yang tidak bisa baca semoga dapat turunan tidak bisa baca semua,"['dia', 'dari', 'keluarga', 'yang', 'tidak', 'bisa', 'baca', 'semoga', 'dapat', 'turunan', 'tidak', 'bisa', 'baca', 'semua']",keluarga baca semoga turunan baca,keluarga baca moga turun baca,0
lanang wedok podho wae. shame on you!,ujaran kebencian,laki laki wedok podho wae kecewa nyala you,"['laki', 'laki', 'wedok', 'podho', 'wae', 'kecewa', 'nyala', 'you']",laki laki wedok podho wae kecewa nyala you,laki laki wedok podho wae kecewa nyala you,0
"lugu dan lucu.. masyarakat indonesia mendoakan kalian sekeluarga. entah doa yang seperti apa, tuhan pasti jawab",ujaran kebencian,lugu dan lucu masyarakat indonesia mendoakan kalian sekeluarga entah doa yang seperti apa tuhan pasti jawab,"['lugu', 'dan', 'lucu', 'masyarakat', 'indonesia', 'mendoakan', 'kalian', 'sekeluarga', 'entah', 'doa', 'yang', 'seperti', 'apa', 'tuhan', 'pasti', 'jawab']",lugu lucu masyarakat indonesia mendoakan sekeluarga doa tuhan,lugu lucu masyarakat indonesia doa keluarga doa tuhan,0
aura orang kampung nya berasa banget @erinagudono,ujaran kebencian,aura orang kampung nya berasa sekali,"['aura', 'orang', 'kampung', 'nya', 'berasa', 'sekali']",aura orang kampung nya berasa,aura orang kampung nya asa,0
reaaallll beban negaraaaa,ujaran kebencian,real beban negara,"['real', 'beban', 'negara']",real beban negara,real beban negara,0
